Molecule Name,∆LFQ,Std. Dev.,P-Value,Molecule Type
ICE2 (YIL090w),1.20937,0.174713,0.005649695,PROTEIN
CBF1 (YJR060w),-0.527479,0.0692109,0.005695343,PROTEIN
RMT2 (YDR465c),-0.393198,0.109493,0.005726381,PROTEIN
SSA4 (YER103W),0.892148,0.187395,0.005809005,PROTEIN
MUP1 (YGR055w),-0.957014,0.284971,0.005908604,PROTEIN
EMC5 (YIL027c),0.782298,0.234758,0.005919485,PROTEIN
CYM1 (YDR430c),0.264632,0.0579566,0.005976158,PROTEIN
SLN1 (YIL147c),1.4313,0.38855,0.006069549,PROTEIN
NEW1 (YPL226w),-0.285706,0.0797651,0.006202354,PROTEIN
GUT2 (YIL155c),1.79081,0.403072,0.006351875,PROTEIN
COA3 (YJL062w-a),1.19541,0.229031,0.006475392,PROTEIN
ELO1 (YJL196c),0.6676,0.0746365,0.006608171,PROTEIN
FKH1 (YIL131c),0.569177,0.0749365,0.006615445,PROTEIN
RPL16B (YNL069C),-0.432791,0.125087,0.006855725,PROTEIN
YMR315W (YMR315w),0.563549,0.134424,0.00686146,PROTEIN
GGA2 (YHR108w),0.128422,0.0418908,0.00686288,PROTEIN
NUP159 (YIL115c),0.249174,0.0744592,0.006869696,PROTEIN
Malic acid,0.560343,0.129,0.006905653,METABOLITE
SEC28 (YIL076w),0.581795,0.185658,0.006996723,PROTEIN
SKI6 (YGR195w),-0.540078,0.163762,0.007005062,PROTEIN
PAR32 (YDL173w),0.349421,0.0962261,0.007078721,PROTEIN
HXK1 (YFR053c),1.1412,0.322425,0.007078895,PROTEIN
SGT2 (YOR007c),0.269052,0.0230455,0.007130488,PROTEIN
CPA2 (YJR109c),1.19028,0.36225,0.007360103,PROTEIN
PPHB6 (HHB),-2.21256,0.646891,0.007368727,LIPID
YRB2 (YIL063c),0.780487,0.212967,0.007369653,PROTEIN
HEM15 (YOR176w),-0.534675,0.174972,0.007377795,PROTEIN
URA1 (YKL216w),-0.887456,0.174761,0.007537284,PROTEIN
YGL101W (YGL101w),-0.458386,0.1435,0.007578091,PROTEIN
YBR139W (YBR139w),0.380005,0.0884256,0.007606341,PROTEIN
UBP3 (YER151c),-0.150698,0.0504149,0.007637212,PROTEIN
PBI2 (YNL015W),0.789105,0.088127,0.007688723,PROTEIN
YSC84 (YHR016c),0.682937,0.165623,0.007717555,PROTEIN
Unidentified metabolite. RT 15.5818 (F),0.695427,0.0454486,0.007722746,METABOLITE
RLF2 (YPR018w),-0.597094,0.207496,0.00794374,PROTEIN
TRM7 (YBR061c),-0.241785,0.0639352,0.008008444,PROTEIN
RPL19B;RPL19A (YBL027W;YBR084C-A),-0.348051,0.105588,0.008032077,PROTEIN
DED81 (YHR019c),-0.269519,0.0263153,0.008039764,PROTEIN
BBC1 (YJL020c),0.379952,0.112071,0.008045628,PROTEIN
ILV2 (YMR108w),-0.360923,0.0506646,0.008065853,PROTEIN
DBP3 (YGL078c),-0.234087,0.0819442,0.008144596,PROTEIN
RPA135 (YPR010c),-0.409428,0.11613,0.008196583,PROTEIN
TPS2 (YDR074w),0.854359,0.15638,0.00820585,PROTEIN
CBF5 (YLR175w),-0.296601,0.0387738,0.008274571,PROTEIN
SUP35 (YDR172w),-0.22844,0.0550893,0.008349108,PROTEIN
YGR266W (YGR266w),0.30146,0.0532273,0.008447821,PROTEIN
RPS6B;RPS6A (YBR181C;YPL090C),-0.126612,0.0334647,0.008458382,PROTEIN
CDC60 (YPL160w),-0.426179,0.0758534,0.008477795,PROTEIN
TMA19 (YKL056c),-0.24671,0.0652317,0.008572205,PROTEIN
HXT1 (YHR094c),0.330678,0.0620881,0.008761705,PROTEIN
SSD1 (YDR293c),0.136352,0.0192774,0.00889178,PROTEIN
REP1 (R0020c),-2.6957,0.955896,0.008969216,PROTEIN
FRA1 (YLL029w),0.302833,0.0304306,0.009025313,PROTEIN
RPS4B;RPS4A (YHR203C;YJR145C),-0.279942,0.092071,0.009026021,PROTEIN
YGR130C (YGR130c),0.475692,0.0866609,0.009029978,PROTEIN
Unidentified metabolite. RT 18.0388 (R),0.27699,0.0888,0.009096393,METABOLITE
FAS1 (YKL182w),-0.26166,0.0443886,0.009283505,PROTEIN
SAS10 (YDL153c),-0.2759,0.0516583,0.009458249,PROTEIN
PIL1 (YGR086c),0.306802,0.0890312,0.009563144,PROTEIN
PG(18:1/16:1),0.754696,0.137854,0.00956939,LIPID
OM45 (YIL136w),1.13751,0.197139,0.009646229,PROTEIN
VTC4 (YJL012c),-0.46441,0.150689,0.009807824,PROTEIN
SNL1 (YIL016w),0.871324,0.268252,0.009935868,PROTEIN
YER034W (YER034w),0.323015,0.00926858,0.009983229,PROTEIN
MET17 (YLR303W),0.374974,0.0924201,0.009991269,PROTEIN
LSG1 (YGL099w),-0.231437,0.0688331,0.010018403,PROTEIN
PG(16:1/16:1),0.670022,0.120582,0.010075139,LIPID
CTF18 (YMR078c),0.672412,0.249632,0.010124146,PROTEIN
UBX4 (YMR067c),0.24232,0.0579968,0.01018325,PROTEIN
GSY2 (YLR258W),1.20482,0.219114,0.010214103,PROTEIN
VPS53 (YJL029c),-0.487123,0.124785,0.010272992,PROTEIN
RTT109 (YLL002w),0.441039,0.0637895,0.010274568,PROTEIN
ABP140 (YOR239W),-0.174567,0.0310376,0.010325772,PROTEIN
HEM13 (YDR044w),-0.407558,0.0751458,0.010369156,PROTEIN
SSF1 (YHR066w),-0.595452,0.183809,0.010389995,PROTEIN
ENT2 (YLR206w),0.469276,0.177115,0.010425037,PROTEIN
CMS1 (YLR003c),-0.0909332,0.0164007,0.010459487,PROTEIN
YIR035C (YIR035c),0.598092,0.195248,0.010493399,PROTEIN
SES1 (YDR023w),-0.194221,0.0573086,0.010502778,PROTEIN
STH1 (YIL126w),0.317572,0.105133,0.010503812,PROTEIN
STE4 (YOR212w),-0.566839,0.198129,0.010650702,PROTEIN
ERP4 (YOR016c),-0.727119,0.251077,0.010662256,PROTEIN
HRI1 (YLR301w),0.535233,0.14451,0.010744472,PROTEIN
PMC1 (YGL006w),0.537627,0.203162,0.010958375,PROTEIN
HSP26 (YBR072W),1.53629,0.562471,0.011122631,PROTEIN
LHP1 (YDL051w),-0.129484,0.0319582,0.011322689,PROTEIN
KEL1 (YHR158c),0.239024,0.0746284,0.011548871,PROTEIN
YGP1 (YNL160w),1.03358,0.348083,0.011597288,PROTEIN
ERG11 (YHR007c),-0.564379,0.12144,0.011636733,PROTEIN
MAP1 (YLR244c),-0.402326,0.124682,0.011641024,PROTEIN
HYR1 (YIR037w),1.07291,0.216714,0.011660637,PROTEIN
RPS5 (YJR123W),-0.168865,0.0344422,0.011673539,PROTEIN
RPL11B;RPL11A (YGR085C;YPR102C),-0.259561,0.0840874,0.011675164,PROTEIN
LAP4 (YKL103c),0.892174,0.281251,0.011695456,PROTEIN
ATP11 (YNL315c),0.574153,0.147732,0.012009106,PROTEIN
AKL1 (YBR059c),0.213841,0.062896,0.012081725,PROTEIN
TCD2 (YKL027w),-0.381924,0.132485,0.012105063,PROTEIN
NOP7 (YGR103w),-0.331989,0.0927874,0.012115496,PROTEIN
SAP155 (YFR040w),0.494697,0.182382,0.012174619,PROTEIN
TIM11 (YDR322C-A),0.565558,0.203996,0.012297623,PROTEIN
RPF2 (YKR081c),-0.448626,0.173207,0.012379249,PROTEIN
UBA1 (YKL210w),0.193244,0.0674749,0.012415212,PROTEIN
RPL17A (YKL180W),-0.416223,0.159878,0.012429023,PROTEIN
RSM7 (YJR113c),-0.837283,0.327298,0.012467829,PROTEIN
YDR341C (YDR341c),-0.263686,0.0703707,0.012500137,PROTEIN
SAM4 (YPL273w),-0.494659,0.133605,0.012553887,PROTEIN
GUA1 (YMR217W),-0.193042,0.0619376,0.012706537,PROTEIN
GRX1 (YCL035c),0.514046,0.182565,0.012854156,PROTEIN
TID3 (YIL144w),0.883371,0.242359,0.013002155,PROTEIN
SGD1 (YLR336c),0.121625,0.0341615,0.013011862,PROTEIN
AAP1 (YHR047c),0.547096,0.114877,0.013118903,PROTEIN
GLN4 (YOR168w),-0.170518,0.0248521,0.013166605,PROTEIN
YGR054W (YGR054w),-0.263632,0.074506,0.013487581,PROTEIN
ACC1 (YNR016c),0.508465,0.195756,0.013572234,PROTEIN
SVL3 (YPL032c),-0.273464,0.0522145,0.013769023,PROTEIN
CAR1 (YPL111w),0.430789,0.161639,0.013803488,PROTEIN
ARP2 (YDL029w),0.339372,0.128969,0.013949884,PROTEIN
CNA1 (YLR433c),-0.315647,0.0957803,0.013964856,PROTEIN
EGD1 (YPL037c),-0.519191,0.130914,0.013984001,PROTEIN
Unidentified metabolite. RT 19.3878 (R),0.150244,0.0320784,0.014061409,METABOLITE
EDE1 (YBL047c),0.211012,0.0686688,0.014082293,PROTEIN
JJJ3 (YJR097w),0.742025,0.266457,0.014429884,PROTEIN
SAC1 (YKL212w),-0.191238,0.0801029,0.014465587,PROTEIN
YSH1 (YLR277c),0.418514,0.141026,0.014530321,PROTEIN
SNC2 (YOR327c),0.67897,0.246581,0.014608772,PROTEIN
Pantothenic acid,-0.307098,0.115842,0.014629639,METABOLITE
Citric acid,0.884812,0.072448,0.014675814,METABOLITE
SSK2 (YNR031c),-0.543633,0.115522,0.014767518,PROTEIN
NOP58 (YOR310c),-0.14881,0.0610224,0.014773693,PROTEIN
NUP116 (YMR047c),-0.349258,0.00432362,0.014995105,PROTEIN
ADE57 (YGL234w),-0.261966,0.0442888,0.015092365,PROTEIN
SPF1 (YEL031w),0.147092,0.0538973,0.015162806,PROTEIN
GPM3 (YOL056w),0.315325,0.0997688,0.015248983,PROTEIN
Adenine,0.127014,0.0470211,0.015421061,METABOLITE
QRI1 (YDL103c),0.117491,0.0321132,0.015498438,PROTEIN
PAB1 (YER165W),-0.163442,0.0677377,0.015625738,PROTEIN
MEF1 (YLR069c),0.645232,0.275449,0.015633991,PROTEIN
CRP1 (YHR146w),0.494297,0.14597,0.015954563,PROTEIN
MTD1 (YKR080w),-0.40135,0.109152,0.015999125,PROTEIN
CL(70:3),0.655764,0.282261,0.016008566,LIPID
MAG1 (YER142c),0.861213,0.353662,0.016079987,PROTEIN
TIM13 (YGR181w),-0.488858,0.173188,0.016421949,PROTEIN
BDH1 (YAL060w),0.395852,0.114984,0.016506804,PROTEIN
SHM2 (YLR058c),-0.334983,0.0294697,0.016510997,PROTEIN
UTP4 (YDR324c),-0.263,0.0823519,0.016564532,PROTEIN
IES4 (YOR189w),1.29065,0.340127,0.016669305,PROTEIN
MTR4 (YJL050w),-0.167221,0.0260298,0.016676267,PROTEIN
SSC1 (YJR045c),0.279217,0.0425534,0.016680434,PROTEIN
ADE1 (YAR015W),-0.200096,0.0327212,0.016733659,PROTEIN
PRB1 (YEL060c),0.732148,0.178159,0.016753096,PROTEIN
PSE1 (YMR308c),-0.330063,0.141494,0.016836129,PROTEIN
SAM2 (YDR502C),-0.324849,0.123044,0.016881724,PROTEIN
TRL1 (YJL087c),-0.405712,0.147449,0.016916195,PROTEIN
ARO8 (YGL202w),-0.30782,0.101334,0.016932366,PROTEIN
SSL2 (YIL143c),0.706332,0.0779098,0.0172109,PROTEIN
BFR1 (YOR198c),0.164732,0.0639375,0.017444136,PROTEIN
UTP21 (YLR409c),-0.236743,0.0401215,0.017469824,PROTEIN
FSH1 (YHR049w),0.404956,0.177424,0.017517881,PROTEIN
SRO7 (YPR032w),0.21308,0.0837339,0.017600212,PROTEIN
NOP53 (YPL146c),-0.517433,0.130749,0.01764166,PROTEIN
PG(18:1/16:0),0.950131,0.330442,0.017655154,LIPID
NAN1 (YPL126w),-0.229772,0.0285975,0.017683145,PROTEIN
CHS3 (YBR023c),-0.354495,0.1198,0.018085193,PROTEIN
FDC1 (YDR539w),0.375005,0.117596,0.018127637,PROTEIN
YEF3 (YLR249W),-0.242515,0.0820944,0.018138877,PROTEIN
SEC3 (YER008c),0.17771,0.0274002,0.018171452,PROTEIN
ARX1 (YDR101c),-0.348881,0.12729,0.018233258,PROTEIN
GAR1 (YHR089c),-0.347323,0.106871,0.018233401,PROTEIN
PRT1 (YOR361c),-0.269242,0.0411932,0.018450748,PROTEIN
DCS1 (YLR270w),0.428251,0.161661,0.018717609,PROTEIN
TIM10 (YHR005c-a),1.18529,0.520444,0.018787417,PROTEIN
PSR1 (YLL010c),-0.528692,0.223541,0.018879863,PROTEIN
SEC15 (YGL233w),0.466526,0.051679,0.018891286,PROTEIN
